GEOID,population_density,population,median_age,below_poverty_level,median_income,average_household_size
12099007504,3352.048408,3168,57,279,72389,1.970000029
12099005411,2121.317561,3446,63.90000153,290,83854,2
12071050208,4453.087281,6478,34.29999924,1078,65924,3.25
12011030802,3803.752286,6415,57.59999847,642,50421,1.879999995
12011060603,7010.491759,5025,33.79999924,557,75664,2.99000001
12099007834,893.6867704,1631,67.19999695,143,103516,2.029999971
12115002510,2233.719539,3945,60.20000076,278,59402,2.109999895
12105011913,1654.875448,2653,35.70000076,429,47743,3.089999914
12127083007,556.2737048,5032,39.59999847,754,63491,3.029999971
12099007813,3280.329171,6916,37.09999847,172,78837,3.410000086
12101030405,2959.652122,2061,41.70000076,272,37292,2.309999943
12099006502,5458.262099,3926,40.29999924,595,91929,2.25
12087972500,264.0258107,1104,51,17,101184,1.899999976
12086001005,5746.888435,2190,53.40000153,621,30886,2.390000105
12057013208,1697.225275,5278,43.90000153,23,118906,2.950000048
12101031010,7195.458253,5245,36.70000076,1230,34511,2.640000105
12103026909,4976.276831,4800,57.20000076,449,30237,1.950000048
12069030306,780.1034246,4098,61.70000076,367,43060,1.980000019
12086000122,41444.06053,4348,53.90000153,467,74583,2.089999914
12009071335,1651.185528,4387,53.70000076,197,69604,2.720000029
12101031506,2984.488593,3696,38.29999924,503,44266,2.390000105
12097042702,7358.823608,7286,37.40000153,784,37330,3.24000001
12031014337,4082.704627,10221,32.90000153,1318,66094,2.799999952
12103024409,2122.462258,2946,62.40000153,129,78125,2.049999952
12086008702,6902.615767,5773,44.09999847,980,48825,3.50999999
12011090101,13588.40291,4685,61.40000153,354,60025,1.690000057
12099006909,3229.157689,2576,53.79999924,156,58317,2.079999924
12101031007,6132.0528,6130,45.09999847,1178,34851,2.849999905
12071001915,812.7703868,2617,82.80000305,97,59107,1.470000029
12101030406,4206.048499,2339,50.79999924,289,40908,2.069999933
12057011902,6385.815454,8646,36.70000076,1518,44204,2.859999895
12086000129,17444.30496,2079,64.59999847,149,114653,2.039999962
12057001800,5186.284866,4854,30.60000038,1567,31356,2.950000048
12086001204,11298.99996,5704,43.70000076,484,48693,2.210000038
12071040125,1767.113069,2317,39,321,56042,3.279999971
12113010813,2667.589332,4915,41.29999924,122,71268,2.440000057
12081000901,4049.799148,5841,41.90000153,987,56750,3.289999962
12127081600,4621.418152,2766,35.40000153,855,31014,2.829999924
12086004301,41246.0557,2119,39.70000076,167,76181,1.600000024
12115000407,5337.383318,4036,40.29999924,562,44839,2.319999933
12099003000,4260.342839,5622,35.5,1415,41557,3.74000001
12083002002,3219.039807,3777,40.40000153,929,35915,2.400000095
12101031013,4845.952489,3077,37.09999847,493,45625,2.390000105
12103026701,6946.273757,5161,40,456,46116,2.849999905
12101033013,3514.088738,3219,43.90000153,852,34972,2.440000057
12011060112,7908.686131,7662,43.29999924,1146,33981,2.49000001
12057003200,8525.595117,2725,41.29999924,930,20098,2.519999981
12057012207,3051.693137,7231,41.29999924,547,71824,2.880000114
12086000902,4901.248215,5783,45.40000153,917,33008,3.329999924
12105013200,2468.09471,2153,35.70000076,539,37569,3.190000057
